C02818V03389,Agricultural Product,TLIST(M1),Month,STATISTIC,Statistic Label,UNIT,VALUE
1,Agricultural output price index,200001,2000M01,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,93.234
1,Agricultural output price index,200001,2000M01,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,91.325
1,Agricultural output price index,200002,2000M02,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,94.955
1,Agricultural output price index,200002,2000M02,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,93.923
1,Agricultural output price index,200003,2000M03,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,95.832
1,Agricultural output price index,200003,2000M03,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,94.907
1,Agricultural output price index,200004,2000M04,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,96.818
1,Agricultural output price index,200004,2000M04,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,95.735
1,Agricultural output price index,200005,2000M05,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,98.818
1,Agricultural output price index,200005,2000M05,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,97.392
1,Agricultural output price index,200006,2000M06,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,100.718
1,Agricultural output price index,200006,2000M06,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,99.391
1,Agricultural output price index,200007,2000M07,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,100.006
1,Agricultural output price index,200007,2000M07,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,100.826
1,Agricultural output price index,200008,2000M08,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.045
1,Agricultural output price index,200008,2000M08,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.773
1,Agricultural output price index,200009,2000M09,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,101.244
1,Agricultural output price index,200009,2000M09,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.583
1,Agricultural output price index,200010,2000M10,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.845
1,Agricultural output price index,200010,2000M10,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.693
1,Agricultural output price index,200011,2000M11,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.871
1,Agricultural output price index,200011,2000M11,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.582
1,Agricultural output price index,200012,2000M12,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,97.877
1,Agricultural output price index,200012,2000M12,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.676
1,Agricultural output price index,200101,2001M01,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,103.241
1,Agricultural output price index,200101,2001M01,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.156
1,Agricultural output price index,200102,2001M02,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,101.599
1,Agricultural output price index,200102,2001M02,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,100.428
1,Agricultural output price index,200103,2001M03,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,104.145
1,Agricultural output price index,200103,2001M03,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,103.073
1,Agricultural output price index,200104,2001M04,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,102.458
1,Agricultural output price index,200104,2001M04,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.269
1,Agricultural output price index,200105,2001M05,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,104.182
1,Agricultural output price index,200105,2001M05,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,102.661
1,Agricultural output price index,200106,2001M06,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,103.524
1,Agricultural output price index,200106,2001M06,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,102.198
1,Agricultural output price index,200107,2001M07,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,103.345
1,Agricultural output price index,200107,2001M07,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,104.242
1,Agricultural output price index,200108,2001M08,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,98.139
1,Agricultural output price index,200108,2001M08,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,100.87
1,Agricultural output price index,200109,2001M09,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,100.967
1,Agricultural output price index,200109,2001M09,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.385
1,Agricultural output price index,200110,2001M10,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.312
1,Agricultural output price index,200110,2001M10,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.23
1,Agricultural output price index,200111,2001M11,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.783
1,Agricultural output price index,200111,2001M11,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.497
1,Agricultural output price index,200112,2001M12,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.786
1,Agricultural output price index,200112,2001M12,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,100.576
1,Agricultural output price index,200201,2002M01,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,102.925
1,Agricultural output price index,200201,2002M01,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,100.857
1,Agricultural output price index,200202,2002M02,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,101.444
1,Agricultural output price index,200202,2002M02,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,100.097
1,Agricultural output price index,200203,2002M03,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,100.787
1,Agricultural output price index,200203,2002M03,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.65
1,Agricultural output price index,200204,2002M04,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.659
1,Agricultural output price index,200204,2002M04,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,99.403
1,Agricultural output price index,200205,2002M05,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.591
1,Agricultural output price index,200205,2002M05,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.157
1,Agricultural output price index,200206,2002M06,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.501
1,Agricultural output price index,200206,2002M06,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.262
1,Agricultural output price index,200207,2002M07,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,96.996
1,Agricultural output price index,200207,2002M07,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,97.947
1,Agricultural output price index,200208,2002M08,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,95.136
1,Agricultural output price index,200208,2002M08,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,97.891
1,Agricultural output price index,200209,2002M09,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,97.682
1,Agricultural output price index,200209,2002M09,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.258
1,Agricultural output price index,200210,2002M10,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,96.239
1,Agricultural output price index,200210,2002M10,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.188
1,Agricultural output price index,200211,2002M11,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,95.835
1,Agricultural output price index,200211,2002M11,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,97.394
1,Agricultural output price index,200212,2002M12,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,97.559
1,Agricultural output price index,200212,2002M12,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.253
1,Agricultural output price index,200301,2003M01,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.747
1,Agricultural output price index,200301,2003M01,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,97.707
1,Agricultural output price index,200302,2003M02,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,98.749
1,Agricultural output price index,200302,2003M02,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,97.222
1,Agricultural output price index,200303,2003M03,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,97.946
1,Agricultural output price index,200303,2003M03,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,96.816
1,Agricultural output price index,200304,2003M04,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,98.078
1,Agricultural output price index,200304,2003M04,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,96.699
1,Agricultural output price index,200305,2003M05,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,97.613
1,Agricultural output price index,200305,2003M05,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,96.265
1,Agricultural output price index,200306,2003M06,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,96.181
1,Agricultural output price index,200306,2003M06,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,95.035
1,Agricultural output price index,200307,2003M07,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,95.237
1,Agricultural output price index,200307,2003M07,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,96.365
1,Agricultural output price index,200308,2003M08,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,94.893
1,Agricultural output price index,200308,2003M08,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,97.774
1,Agricultural output price index,200309,2003M09,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,97.135
1,Agricultural output price index,200309,2003M09,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,97.913
1,Agricultural output price index,200310,2003M10,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,96.237
1,Agricultural output price index,200310,2003M10,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.178
1,Agricultural output price index,200311,2003M11,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,96.808
1,Agricultural output price index,200311,2003M11,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.243
1,Agricultural output price index,200312,2003M12,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,97.665
1,Agricultural output price index,200312,2003M12,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.2
1,Agricultural output price index,200401,2004M01,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.458
1,Agricultural output price index,200401,2004M01,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,97.359
1,Agricultural output price index,200402,2004M02,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,101.008
1,Agricultural output price index,200402,2004M02,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,99.246
1,Agricultural output price index,200403,2004M03,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,101.904
1,Agricultural output price index,200403,2004M03,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,100.739
1,Agricultural output price index,200404,2004M04,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,102.004
1,Agricultural output price index,200404,2004M04,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,100.459
1,Agricultural output price index,200405,2004M05,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,103.15
1,Agricultural output price index,200405,2004M05,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.855
1,Agricultural output price index,200406,2004M06,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,103.374
1,Agricultural output price index,200406,2004M06,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,102.244
1,Agricultural output price index,200407,2004M07,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,101.042
1,Agricultural output price index,200407,2004M07,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,102.521
1,Agricultural output price index,200408,2004M08,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,98.214
1,Agricultural output price index,200408,2004M08,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.277
1,Agricultural output price index,200409,2004M09,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.284
1,Agricultural output price index,200409,2004M09,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,100.283
1,Agricultural output price index,200410,2004M10,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,96.526
1,Agricultural output price index,200410,2004M10,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.301
1,Agricultural output price index,200411,2004M11,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,97.271
1,Agricultural output price index,200411,2004M11,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.456
1,Agricultural output price index,200412,2004M12,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,96.769
1,Agricultural output price index,200412,2004M12,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,97.153
1,Agricultural output price index,200501,2005M01,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,105.362
1,Agricultural output price index,200501,2005M01,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,102.908
1,Agricultural output price index,200502,2005M02,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,104.168
1,Agricultural output price index,200502,2005M02,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,102.603
