Year,Agricultural Product,VALUE
2003,Agricultural output price index,99.747
2003,Agricultural output price index,97.707
2003,Agricultural output price index,98.749
2003,Agricultural output price index,97.222
2003,Agricultural output price index,97.946
2003,Agricultural output price index,96.816
2003,Agricultural output price index,98.078
2003,Agricultural output price index,96.699
2003,Agricultural output price index,97.613
2003,Agricultural output price index,96.265
2003,Agricultural output price index,96.181
2003,Agricultural output price index,95.035
2003,Agricultural output price index,95.237
2003,Agricultural output price index,96.365
2003,Agricultural output price index,94.893
2003,Agricultural output price index,97.774
2003,Agricultural output price index,97.135
2003,Agricultural output price index,97.913
2003,Agricultural output price index,96.237
2003,Agricultural output price index,98.178
2003,Agricultural output price index,96.808
2003,Agricultural output price index,98.243
2003,Agricultural output price index,97.665
2003,Agricultural output price index,98.2
2004,Agricultural output price index,99.458
2004,Agricultural output price index,97.359
2004,Agricultural output price index,101.008
2004,Agricultural output price index,99.246
2004,Agricultural output price index,101.904
2004,Agricultural output price index,100.739
2004,Agricultural output price index,102.004
2004,Agricultural output price index,100.459
2004,Agricultural output price index,103.15
2004,Agricultural output price index,101.855
2004,Agricultural output price index,103.374
2004,Agricultural output price index,102.244
2004,Agricultural output price index,101.042
2004,Agricultural output price index,102.521
2004,Agricultural output price index,98.214
2004,Agricultural output price index,101.277
2004,Agricultural output price index,99.284
2004,Agricultural output price index,100.283
2004,Agricultural output price index,96.526
2004,Agricultural output price index,98.301
2004,Agricultural output price index,97.271
2004,Agricultural output price index,98.456
2004,Agricultural output price index,96.769
2004,Agricultural output price index,97.153
2005,Agricultural output price index,105.362
2005,Agricultural output price index,102.908
2005,Agricultural output price index,104.168
2005,Agricultural output price index,102.603
2005,Agricultural output price index,103.662
2005,Agricultural output price index,102.389
2005,Agricultural output price index,102.358
2005,Agricultural output price index,102.57
2005,Agricultural output price index,101.74
2005,Agricultural output price index,101.52
2005,Agricultural output price index,102.014
2005,Agricultural output price index,101.524
2005,Agricultural output price index,98.275
